icao,manufacturer,model,icaoClass,aircraftCategoryCode,aircraftType,engineCount,engineType
DOVE,DE HAVILLAND,DH-104 Dove,LandPlane,1,5,2,1
DR1,FOKKER,Dr-1 Replica,LandPlane,1,4,1,1
DR10,CENTRE EST,DR-1050 Ambassadeur,LandPlane,1,4,1,1
DR22,CENTRE EST,DR-220 2+2,LandPlane,1,4,1,1
DR30,ROBIN,DR-300,LandPlane,1,4,1,1
DR40,ROBIN,DR-400 2+2,LandPlane,1,4,1,1
DRAG,DRAGON FLY,Dragon Fly,Helicopter,1,6,1,1
DRIF,AUSTFLIGHT,Drifter,LandPlane,1,4,1,1
DRTG,DART,G,LandPlane,1,4,1,1
DSA1,SMITH (1),DSA-1 Miniplane,LandPlane,1,4,1,1
DSK,KILLINGSWORTH,DSK-1 Hawk,LandPlane,1,4,1,1
DSLK,DRIGGS,Skylark,LandPlane,1,4,1,1
DT45,DIAMOND,DART-450,LandPlane,1,4,1,3
DTA1,VERHEES,D-1 Delta,LandPlane,1,4,1,1
DTA2,VERHEES,D-2 Delta,LandPlane,1,4,1,1
DUB2,DUBNA,2 Osa,LandPlane,1,4,1,1
DUCE,BAKENG,Duce,LandPlane,1,4,1,1
DUOD,SCHEMPP-HIRTH,Duo Discus T,LandPlane,1,4,1,1
DUR5,DURAND,Mk5,LandPlane,1,4,1,1
DV1,DOVA,DV-1 Skylark,LandPlane,1,4,1,1
DV2,DOVA,DV-2 Infinity,LandPlane,1,4,1,1
DV20,DIAMOND,DV-20 Katana,LandPlane,1,4,1,1
DW1,EAGLE,DW-1 Eagle,LandPlane,1,4,1,1
DWD2,DEWOITINE,D-26,LandPlane,1,4,1,1
DYH2,DYNALI,H-2,Helicopter,1,6,1,1
DYH3,DYNALI,H-3 EasyFlyer,Helicopter,1,6,1,1
E110,EMBRAER,EMB-110 Bandeirante,LandPlane,1,5,2,3
E120,EMBRAER,EMB-120 Brasilia,LandPlane,1,5,2,3
E121,EMBRAER,EMB-121 Xingu,LandPlane,1,5,2,3
E135,EMBRAER,ERJ-135,LandPlane,1,5,2,4
E145,EMBRAER,ERJ-145EP,LandPlane,1,5,2,4
E170,EMBRAER,ERJ-170-100,LandPlane,1,5,2,4
E190,EMBRAER,ERJ-190-100,LandPlane,1,5,2,4
E195,EMBRAER,ERJ-190-200,LandPlane,1,5,2,4
E2,GRUMMAN,E-2 Hawkeye,LandPlane,1,5,2,3
E200,EXTRA,EA-200,LandPlane,1,4,1,1
E230,EXTRA,EA-230,LandPlane,1,4,1,1
E275,EMBRAER,ERJ-190-500,LandPlane,1,5,2,4
E290,EMBRAER,ERJ-190-300,LandPlane,1,5,2,4
E295,EMBRAER,ERJ-190-400,LandPlane,1,5,2,4
E29E,BINDER (2),EB-29DE,LandPlane,1,4,1,10
E2CB,TAYLOR (1),E-2 Cub,LandPlane,1,4,1,1
E300,EXTRA,EA-300,LandPlane,1,4,1,1
E314,EMBRAER,EMB-314 Super Tucano,LandPlane,1,4,1,3
E350,CESSNA,E350,LandPlane,1,4,1,3
E35L,EMBRAER,EMB-135BJ Legacy,LandPlane,1,5,2,4
E390,EMBRAER,EMB-390,LandPlane,1,5,2,4
E3CF,BOEING,E-3A (CFM56) Sentry,LandPlane,1,5,4,4
E3TF,BOEING,E-3A (TF33) Sentry,LandPlane,1,5,4,4
E400,EXTRA,EA-400,LandPlane,1,4,1,1
E45X,EMBRAER,EMB-145XR,LandPlane,1,5,2,4
E500,EXTRA,EA-500,LandPlane,1,4,1,3
E50P,EMBRAER,EMB-500 Phenom 100,LandPlane,1,5,2,4
E530,CESSNA,E530 Scorpion,LandPlane,1,5,2,4
E545,EMBRAER,EMB-545 Praetor 500,LandPlane,1,5,2,4
E550,EMBRAER,EMB-550 Praetor 600,LandPlane,1,5,2,4
E55P,EMBRAER,EMB-505 Phenom 300,LandPlane,1,5,2,4
E6,BOEING,E-6 Mercury,LandPlane,1,5,4,4
E737,BOEING,737-700 Wedgetail,LandPlane,1,5,2,4
E75L,EMBRAER,ERJ-170-200 (long wing),LandPlane,1,5,2,4
E75S,EMBRAER,ERJ-170-200 (short wing),LandPlane,1,5,2,4
E767,BOEING,E-767,LandPlane,1,5,2,4
E7BH,E-7 GROUP,E-7 Bush Hog,LandPlane,1,4,1,1
E8,NORTHROP GRUMMAN,E-8 Joint Stars,LandPlane,1,5,4,4
EA40,ECLIPSE,Eclipse 400,LandPlane,1,4,1,4
EA50,ECLIPSE,Eclipse 500,LandPlane,1,5,2,4
EAEA,GROSSO,Easy Eagle,LandPlane,1,4,1,1
EAGL,CHRISTEN,Eagle,LandPlane,1,4,1,1
EAGT,AMEAGLE,American Eaglet,LandPlane,1,4,1,1
EAGX,EAGLE AIRCRAFT,Eagle 150,LandPlane,1,4,1,1
EB29,BINDER (2),EB-29,LandPlane,1,4,1,1
EBOY,FMA,20 El Boyero,LandPlane,1,4,1,1
EC20,AIRBUS HELICOPTERS,EC-120 Colibri,Helicopter,1,6,1,3
EC25,AIRBUS HELICOPTERS,EC-225 Super Puma Mk2+,Helicopter,1,6,2,3
EC30,AIRBUS HELICOPTERS,EC-130,Helicopter,1,6,1,3
EC35,AIRBUS HELICOPTERS,EC-135,Helicopter,1,6,2,3
EC45,AIRBUS HELICOPTERS-KAWASAKI,EC-145,Helicopter,1,6,2,3
EC55,AIRBUS HELICOPTERS,EC-155,Helicopter,1,6,2,3
EC6,CROSES,EC-6 Criquet,LandPlane,1,4,1,1
EC75,AIRBUS HELICOPTERS-HARBIN,EC-175,Helicopter,1,6,2,3
ECHO,TECNAM,P-92 Echo,LandPlane,1,4,1,1
EDGE,ZIVKO,Edge 540,LandPlane,1,4,1,1
EDGT,ZIVKO,Edge 540 T,LandPlane,1,4,1,1
EF2,BYE AEROSPACE,eFlyer 2,LandPlane,1,4,1,10
EFAN,AIRBUS,E-Fan,LandPlane,1,5,2,10
EFOX,AEROPRO,Eurofox,LandPlane,1,4,1,1
EFUS,MAGNUS,MG-11 eFusion,LandPlane,1,4,1,10
EGL3,ROTORWAY,Eagle 300T,Helicopter,1,6,1,3
EGRT,GROB,D-500 Egrett 2,LandPlane,1,4,1,3
EH10,AGUSTAWESTLAND,AW-101,Helicopter,1,6,3,3
EL10,ELA AVIACION,ELA-10 Eclipse,Gyrocopter,1,9,1,1
EL20,ELITAR,IE-202,LandPlane,1,4,1,1
ELA7,ELA AVIACION,ELA-07,Gyrocopter,1,9,1,1
ELF,PARNALL,Elf,LandPlane,1,4,1,1
ELIT,EPIC AIRCRAFT,Epic Elite,LandPlane,1,5,2,4
ELPS,EXPLORER (1),Ellipse,LandPlane,1,4,1,1
ELSP,A2 CZ,Ellipse Spirit,LandPlane,1,4,1,1
ELST,PUTZER,Elster,LandPlane,1,4,1,1
ELTO,CONTINENTAL COPTERS,El Tomcat,Helicopter,1,6,1,1
ELTR,ELITAR,IE-101 Elitar,LandPlane,1,4,1,1
EM10,MARGANSKI,EM-10 Bielik,LandPlane,1,4,1,4
EM11,MARGANSKI,EM-11 Orka,LandPlane,1,5,2,1
EN28,ENSTROM,280 Shark,Helicopter,1,6,1,1
EN48,ENSTROM,480,Helicopter,1,6,1,3
EP9,LANCASHIRE,EP-9 Prospector,LandPlane,1,4,1,1
EPER,EPERVIER (1),Epervier,LandPlane,1,4,1,1
EPIC,EPIC AIRCRAFT,E1000,LandPlane,1,4,1,3
EPX1,EPERVIER (2),X-1,LandPlane,1,4,1,1
ERAC,DICKEY,E-Racer,LandPlane,1,4,1,1
ERCO,ERCO,415 Ercoupe,LandPlane,1,4,1,1
ES11,ALPI,AH-130 Syton,Helicopter,1,6,1,3
ES13,EARLY BIRD,Spad 13 80%,LandPlane,1,4,1,1
ESCA,EPIC AIRCRAFT,Epic Escape,LandPlane,1,4,1,3
ESCP,JUST,Escapade,LandPlane,1,4,1,1
ESQL,MOURA,Esqualo,LandPlane,1,4,1,1
ETA,ETA AIRCRAFT,Eta,LandPlane,1,4,1,1
ETAR,DASSAULT,Super Etendard,LandPlane,1,4,1,4
EUFI,EUROFIGHTER,Eurofighter 2000,LandPlane,1,5,2,4
EUPA,EUROPA,Europa,LandPlane,1,4,1,1
EURT,FFT,Eurotrainer 2000,LandPlane,1,4,1,1
EV55,EVEKTOR,EV-55 Outback,LandPlane,1,5,2,1
EV97,EVEKTOR,EV-97 EuroStar,LandPlane,1,4,1,1
EVAN,EVANGEL,4500 Evangel,LandPlane,1,5,2,1
EVIC,EPIC AIRCRAFT,Epic Victory,LandPlane,1,4,1,4
EVOP,LANCAIR,Evolution Piston,LandPlane,1,4,1,1
EVOT,LANCAIR,Evolution Turbine,LandPlane,1,4,1,3
EVSS,EVEKTOR,SportStar,LandPlane,1,4,1,1
EX5T,AEA,Explorer 500T,LandPlane,1,4,1,3
EXEC,ROTORWAY,Exec,Helicopter,1,6,1,1
EXEJ,ROTORWAY,JetExec,Helicopter,1,6,1,3
EXNG,EXTRA,NG,LandPlane,1,4,1,1
EXPL,MCDONNELL DOUGLAS,MD-900 Explorer,Helicopter,1,6,2,3
EXPR,EXPRESS,Express 2000RG,LandPlane,1,4,1,1
EZFL,BLUE YONDER,E-Z Flyer,LandPlane,1,4,1,1
EZFT,BLUE YONDER,Twin E-Z Flyer,LandPlane,1,5,2,1
EZHV,BLUE YONDER,E-Z Harvard,LandPlane,1,4,1,1
EZIK,ISTRA,Ezhik,LandPlane,1,4,1,1
EZKC,BLUE YONDER,E-Z King Cobra,LandPlane,1,4,1,1
F1,MITSUBISHI,F-1,LandPlane,1,5,2,4
F100,FOKKER,100,LandPlane,1,5,2,4
F104,LOCKHEED,F-104 Starfighter,LandPlane,1,4,1,4
F106,CONVAIR,QF-106 Delta Dart,LandPlane,1,4,1,4
F111,GENERAL DYNAMICS,F-111 Aardvark,LandPlane,1,5,2,4
F117,LOCKHEED,F-117 Nighthawk,LandPlane,1,5,2,4
F13,JUNKERS,F-13 Replica,LandPlane,1,4,1,1
F14,GRUMMAN,F-14 Tomcat,LandPlane,1,5,2,4
F15,MCDONNELL DOUGLAS,F-15 Eagle,LandPlane,1,5,2,4
F156,FIESELER,Fi-156 Storch,LandPlane,1,4,1,1
F16,GENERAL DYNAMICS,F-16 Fighting Falcon,LandPlane,1,4,1,4
F18H,MCDONNELL DOUGLAS,FA-18C Hornet,LandPlane,1,5,2,4
F18S,MCDONNELL DOUGLAS,FA-18E Super Hornet,LandPlane,1,5,2,4
F1FV,AVION,F-1 Favorit,LandPlane,1,4,1,1
F2,MITSUBISHI,F-2,LandPlane,1,4,1,4
F22,LOCKHEED MARTIN,F-22 Raptor,LandPlane,1,5,2,4
F260,SIAI-MARCHETTI,SF-260,LandPlane,1,4,1,1
F26T,SIAI-MARCHETTI,SF-260T,LandPlane,1,4,1,3
F27,FOKKER,F-27 Friendship,LandPlane,1,5,2,3
F28,FOKKER,F-28 Fellowship,LandPlane,1,5,2,4
F2TH,DASSAULT,Falcon 2000,LandPlane,1,5,2,4
F30,GOLDEN CAR,F-30 Brio,LandPlane,1,4,1,1
F35,LOCKHEED MARTIN,F-35C Lightning 2,LandPlane,1,4,1,4
F3F,GRUMMAN,F3F Replica,LandPlane,1,4,1,1
F4,MCDONNELL DOUGLAS,F-4 Phantom 2,LandPlane,1,5,2,4
F402,FALCON AIR,Falcon 402,LandPlane,1,4,1,3
F406,CESSNA,F406 Caravan 2,LandPlane,1,5,2,3
F41E,AEROSAMARA,F-41 El'brus,LandPlane,1,5,2,1
F421,FALCON AIR,Falcon 421,LandPlane,1,4,1,3
F5,NORTHROP,F-5 Freedom Fighter,LandPlane,1,5,2,4
F50,FOKKER,50,LandPlane,1,5,2,3
F5SA,IRIAF,S-100 Saeghe,LandPlane,1,5,2,4
F60,FOKKER,60,LandPlane,1,5,2,3
F600,VULCANAIR,SF-600 Canguro,LandPlane,1,5,2,3
F70,FOKKER,70,LandPlane,1,5,2,4
F8,CHANCE VOUGHT,F8U Crusader,LandPlane,1,4,1,4
F86,NORTH AMERICAN,F-86 Sabre,LandPlane,1,4,1,4
F8L,SEQUOIA,F-8L Falco,LandPlane,1,4,1,1
F900,DASSAULT,Falcon 900,LandPlane,1,5,3,4
F9F,GRUMMAN,F9F Panther,LandPlane,1,4,1,4
FA01,FLÄMING AIR,FA-01 Saphir,LandPlane,1,4,1,1
FA02,FLÄMING AIR,FA-02 Smaragd VLA,LandPlane,1,4,1,1
FA03,FLÄMING AIR,FA-03 Smaragd TMG,LandPlane,1,4,1,1
FA04,FLÄMING AIR,FA-04 Peregrine,LandPlane,1,4,1,1
FA10,DASSAULT,Falcon 10,LandPlane,1,5,2,4
FA11,FAIRCHILD (2),F-11 Husky,LandPlane,1,4,1,1
FA20,DASSAULT,Falcon 20,LandPlane,1,5,2,4
FA24,FAIRCHILD (1),F-24 Argus,LandPlane,1,4,1,1
FA50,DASSAULT,Falcon 50,LandPlane,1,5,3,4
FA62,FAIRCHILD (1),PT-19 Cornell,LandPlane,1,4,1,1
FA6X,DASSAULT,Falcon 6X,LandPlane,1,5,2,4
FA7X,DASSAULT,Falcon 7X,LandPlane,1,5,3,4
FA8X,DASSAULT,Falcon 8X,LandPlane,1,5,3,4
FAET,ATEC,321 Faeta,LandPlane,1,4,1,1
FALC,AMERICAN AIRCRAFT,Falcon XP,LandPlane,1,4,1,1
FALM,MILES,M-3 Falcon Major,LandPlane,1,4,1,1
FANL,RHEIN,FL-1 Fanliner,LandPlane,1,4,1,1
FANT,RHEIN,Fantrainer,LandPlane,1,4,1,3
FB1A,BOWERS,Fly Baby 1A,LandPlane,1,4,1,1
FB1B,BOWERS,Fly Baby 1B,LandPlane,1,4,1,1
FB5,EURO-FLY,FB-5 Star Light,LandPlane,1,4,1,1
FBA2,FOUND,FBA-2 Bush Hawk,LandPlane,1,4,1,1
FBIR,FREEWING,Freebird Mk5,LandPlane,1,4,1,1
FC1,CHENGDU,FC-1 Xiaolong,LandPlane,1,4,1,4
FD2E,FLIGHT DESIGN,F-2e,LandPlane,1,4,1,10
FDCT,FLIGHT DESIGN,CT,LandPlane,1,4,1,1
FDF2,FLIGHT DESIGN,F-2,LandPlane,1,4,1,1
FDMC,FLIGHT DESIGN,MC,LandPlane,1,4,1,1
FE51,FIGHTER ESCORT WINGS,P-51,LandPlane,1,4,1,1
FEST,AEROSTAR (2),R40S Festival,LandPlane,1,4,1,1
FFLY,FAIREY,Firefly,LandPlane,1,4,1,1
FG01,FARIGOUX,FG-01 Origan,LandPlane,1,4,1,1
FGT,MIDWEST AEROSPORT,Formula GT,LandPlane,1,4,1,1
FH11,FAIRCHILD HILLER,FH-1100,Helicopter,1,6,1,3
FIBO,STARFIRE,Firebolt Convertible,LandPlane,1,4,1,1
FIKD,FIKE,D,LandPlane,1,4,1,1
FIKE,FIKE,E,LandPlane,1,4,1,1
FINC,FLEET,16 Finch,LandPlane,1,4,1,1
FJ10,AEROSTAR (1),FJ-100,LandPlane,1,5,2,4
FJR3,FAJR,F-3,LandPlane,1,4,1,1
FK12,B & F TECHNIK,FK-12 Comet,LandPlane,1,4,1,1
FK14,B & F TECHNIK,FK-14 Polaris,LandPlane,1,4,1,1
FK9,B & F TECHNIK,FK-9,LandPlane,1,4,1,1
FL3,AVIA (1),L-3 Aviastarlet,LandPlane,1,4,1,1
FL53,METEOR,FL-53,LandPlane,1,4,1,1
FL54,METEOR,FL-54,LandPlane,1,4,1,1
FL55,METEOR,FL-55,LandPlane,1,4,1,1
FLAM,DASSAULT,MD-311 Flamant,LandPlane,1,5,2,1
FLCO,SELEX ES,Falco,LandPlane,1,4,1,1
FLE2,FLEET,2,LandPlane,1,4,1,1
FLE7,FLEET,7 Fawn,LandPlane,1,4,1,1
FLIZ,FLITZER,Z-1 Flitzer,LandPlane,1,4,1,1
FLSH,EURO-FLY,Flash,LandPlane,1,4,1,1
FLSS,KOLB,Flyer SS,LandPlane,1,4,1,1
FM25,FLYING MACHINES,FM-250 Vampire,LandPlane,1,4,1,1
FMGO,AAK,Flamingo,LandPlane,1,4,1,1
FN33,SIAI-MARCHETTI,FN-333 Riviera,Amphibian,3,4,1,1
FNKB,AKRON,Funk B,LandPlane,1,4,1,1
FOOF,STEWART (2),JD-2 Foo Fighter,LandPlane,1,4,1,1
FORT,FLEET,60 Fort,LandPlane,1,4,1,1
FOUG,FOUGA,CM-170R Magister,LandPlane,1,5,2,4
FOX,DENNEY,Kitfox,LandPlane,1,4,1,1
FOXT,TEAM TANGO,Foxtrot-4,LandPlane,1,4,1,1
FRBD,NORTHROP GRUMMAN,Firebird,LandPlane,1,4,1,1
FREE,CABRINHA,RC-412 Free Spirit,LandPlane,1,4,1,1
FREL,AEROSPATIALE,SA-321 Super Frelon,Helicopter,1,6,3,3
FRNT,SKY RAIDER,Frontier,LandPlane,1,4,1,1
FRON,FRONTIER,Frontier MD-2,LandPlane,1,4,1,1
FS51,FALCONAR,SAL P-51D Mustang,LandPlane,1,4,1,1
FT30,NAI,FT-300,LandPlane,1,4,1,1
FU24,FLETCHER,FU-24,LandPlane,1,4,1,1
FURY,HAWKER,Sea Fury,LandPlane,1,4,1,1
FUSI,MAGNUS,MG-11 Fusion,LandPlane,1,4,1,1
FW02,FLYWHALE,FW-02 Flywhale,Amphibian,3,4,1,1
FW19,FOUR WINDS,192,LandPlane,1,4,1,1
FW21,FOUR WINDS,FX-210,LandPlane,1,4,1,1
FW44,FOCKE-WULF,Fw-44 Stieglitz,LandPlane,1,4,1,1
FW90,FOCKE-WULF,Fw-190 Replica,LandPlane,1,4,1,1
FWSB,FLEETWINGS,F-4 Sea Bird,Amphibian,3,4,1,1
FX1,INNOVAVIATION,FX-1,LandPlane,1,4,1,1
G1,G1 AVIATION,G-1 Gélinotte,LandPlane,1,4,1,1
G103,GROB,G-103C Twin 3SL,LandPlane,1,4,1,1
G109,GROB,G-109 Ranger,LandPlane,1,4,1,1
G115,GROB,G-115,LandPlane,1,4,1,1
G120,GROB,G-120 Snunit,LandPlane,1,4,1,1
G12T,GROB,G-120TP,LandPlane,1,4,1,3
G140,GROB,G-140TP,LandPlane,1,4,1,3
G150,GULFSTREAM AEROSPACE,Gulfstream G150,LandPlane,1,5,2,4
G159,GRUMMAN,G-159 Gulfstream 1,LandPlane,1,5,2,3
G15T,GROB,G-115T Acro,LandPlane,1,4,1,1
G160,GROB,G-160 Ranger,LandPlane,1,4,1,3
G164,GRUMMAN,G-164 Ag-Cat,LandPlane,1,4,1,1
G180,GENERAL AIRCRAFT,G1-80 Skyfarer,LandPlane,1,4,1,1
G200,GILES,G-200,LandPlane,1,4,1,1
G202,GILES,G-202,LandPlane,1,4,1,1
G21,GRUMMAN,G-21A Goose,Amphibian,3,5,2,1
G21M,MCKINNON,G-21C Goose,Amphibian,3,5,4,1
G21T,MCKINNON,G-21E Turbo Goose,Amphibian,3,5,2,3
G222,ALENIA,G-222,LandPlane,1,5,2,3
G250,GULFSTREAM AEROSPACE,Gulfstream G250,LandPlane,1,5,2,4
G280,GULFSTREAM AEROSPACE,Gulfstream G280,LandPlane,1,5,2,4
G2CA,GUIMBAL,G-2 Cabri,Helicopter,1,6,1,1
G2GL,SOKO,G-2 Galeb,LandPlane,1,4,1,4
G2T1,GREAT LAKES,2T-1 Sport,LandPlane,1,4,1,1
G3,REMOS,G-3 Mirage,LandPlane,1,4,1,1
G300,GILES,G-300,LandPlane,1,4,1,1
G44,GRUMMAN,G-44 Widgeon,Amphibian,3,5,2,1
G46,FIAT,G-46,LandPlane,1,4,1,1
G4SG,SOKO,G-4 Super Galeb,LandPlane,1,4,1,4
G59,FIAT,G-59,LandPlane,1,4,1,1
G64T,GRUMMAN,G-164 Turbo Ag-Cat,LandPlane,1,4,1,3
G70,GROPPO,G-70,LandPlane,1,4,1,1
G73,GRUMMAN,G-73 Mallard,Amphibian,3,5,2,1
G73T,GRUMMAN,G-73T Turbo Mallard,Amphibian,3,5,2,3
G800,GRINVALDS,G-801 Orion,LandPlane,1,4,1,1
G850,GROB,G-850 Strato 2C,LandPlane,1,5,2,1
G96,GRUMMAN,G-96 Trader,LandPlane,1,5,2,1
G97,SAI (2),G-97 Spotter,LandPlane,1,4,1,1
GA10,GIPPSAERO,GA-10,LandPlane,1,4,1,3
GA20,GIPPSLAND,GA-200 Fatman,LandPlane,1,4,1,1
GA5C,GULFSTREAM AEROSPACE,G-7 Gulfstream G500,LandPlane,1,5,2,4
GA6C,GULFSTREAM AEROSPACE,G-7 Gulfstream G600,LandPlane,1,5,2,4
GA7,GRUMMAN AMERICAN,GA-7 Cougar,LandPlane,1,5,2,1
GA7C,GULFSTREAM AEROSPACE,G-8 Gulfstream G700,LandPlane,1,5,2,4
GA8,GIPPSLAND,GA-8 Airvan,LandPlane,1,4,1,1
GA8C,GULFSTREAM,G800,LandPlane,1,5,2,4
GABR,BLACKSHAPE,Bk-160 Gabriel,LandPlane,1,4,1,1
GALX,GULFSTREAM AEROSPACE,Gulfstream G200,LandPlane,1,5,2,4
GANT,FAIREY,Gannet,LandPlane,1,1,0,3
GAUN,GLOSTER,Gauntlet,LandPlane,1,4,1,1
GAVI,GAVILAN,EL-1 Gavilan 358,LandPlane,1,4,1,1
GAZL,AEROSPATIALE,SA-342 Gazelle,Helicopter,1,6,1,3
GB1,GAME COMPOSITES,GB-1 GameBird,LandPlane,1,4,1,1
GBSP,BEETS,GB Special,LandPlane,1,4,1,1
GC1,GLOBE,GC-1 Swift,LandPlane,1,4,1,1
GDUK,ELLISON-MAHON,Gweduck,Amphibian,3,5,2,1
GEMI,MILES,M-65 Gemini,LandPlane,1,5,2,1
GENI,IFB,E-Genius,LandPlane,1,4,1,10
GEPE,AERO SERVICES,Guêpe,LandPlane,1,4,1,1
GF20,GROB,GF-200,LandPlane,1,4,1,1
GFLY,SCALED,311 Global Flyer,LandPlane,1,4,1,4
GL5T,BOMBARDIER,Global 5000,LandPlane,1,5,2,4
GL7T,BOMBARDIER,Global 7000,LandPlane,1,5,2,4
GLAD,GLOSTER,Gladiator,LandPlane,1,4,1,1
GLAS,STODDARD-HAMILTON,Glasair,LandPlane,1,4,1,1
GLEX,BOMBARDIER,Global Express,LandPlane,1,5,2,4
GLF2,GRUMMAN,Gulfstream 2,LandPlane,1,5,2,4
GLF3,GULFSTREAM AEROSPACE,Gulfstream 3,LandPlane,1,5,2,4
GLF4,GULFSTREAM AEROSPACE,Gulfstream 4,LandPlane,1,5,2,4
GLF5,GULFSTREAM AEROSPACE,Gulfstream 5,LandPlane,1,5,2,4
GLF6,GULFSTREAM AEROSPACE,Gulfstream G650,LandPlane,1,5,2,4
GLSP,NEW GLASTAR,Sportsman 2+2,LandPlane,1,4,1,1
GLST,STODDARD-HAMILTON,SH-4 GlaStar,LandPlane,1,4,1,1
GM01,YALO,GM-01 Gniady,LandPlane,1,4,1,1
GM17,INTRACOM,GM-17  Viper,LandPlane,1,4,1,3
GMGC,IBIS (2),Grand Magic,LandPlane,1,4,1,1
GNAT,FOLLAND,Fo-144 Gnat,LandPlane,1,4,1,4
GOBU,BUTTERFLY,Golden Butterfly,Gyrocopter,1,9,1,1
GOLF,TECNAM,P-96 Golf,LandPlane,1,4,1,1
GOOS,QUIKKIT,Glass Goose,Amphibian,3,4,1,1
GOTR,GOAIR,GT-1 Trainer,LandPlane,1,4,1,1
GP1,JIHLAVAN,Skyleader GP One,LandPlane,1,4,1,1
GP3,PEREIRA,GP-3 Osprey 2,Amphibian,3,4,1,1
GP4,PEREIRA,GP-4,LandPlane,1,4,1,1
GPRO,GENEVATION,GenPro,LandPlane,1,4,1,1
GR51,CAMERON,P-51G Grand 51,LandPlane,1,4,1,3
GRAF,LUNDY,Graflite,LandPlane,1,4,1,1
GRFN,GRIFFON AERO,Griffon,LandPlane,1,4,1,1
GRIF,CANADA AIR RV,Griffin,LandPlane,1,4,1,1
GRIZ,AEROTEK (3),Turbo Grizzly,LandPlane,1,4,1,3
GSIS,SLIPSTREAM,Ultra Sport,LandPlane,1,4,1,1
GSPN,GROB,G-180 SPn Utility Jet,LandPlane,1,5,2,4
GUEP,AERO SERVICES,Guepard,LandPlane,1,4,1,1
GURI,AEROMOT,AMT-600 Guri,LandPlane,1,4,1,1
GX,STEMME,Remos GX,LandPlane,1,4,1,1
GY10,GARDAN,GY-100 Bagheera,LandPlane,1,4,1,1
GY20,CAB,GY-20 Minicab,LandPlane,1,4,1,1
GY30,CAB,GY-30 Supercab,LandPlane,1,4,1,1
GY80,SOCATA,GY-80 Horizon,LandPlane,1,4,1,1
H111,HEINKEL,He-111,LandPlane,1,5,2,1
H12T,HILLER,UH-12E3T,Helicopter,1,6,1,3
H160,AIRBUS HELICOPTERS,H-160,Helicopter,1,6,2,3
H2,KAMAN,SH-2 Seasprite,Helicopter,1,6,2,3
H202,HB-AIRCRAFT,HB-202 Fledger,LandPlane,1,4,1,1
H204,HB-FLUGTECHNIK,HB-204 Tornado,LandPlane,1,4,1,1
H207,HB-FLUGTECHNIK,HB-207 Alfa,LandPlane,1,4,1,1
H21,VERTOL,CH-21 Work horse,Helicopter,1,6,1,1
H25A,HAWKER SIDDELEY,HS-125-1,LandPlane,1,5,2,4
H25B,RAYTHEON,Hawker 850,LandPlane,1,5,2,4
H25C,RAYTHEON,Hawker 1000,LandPlane,1,5,2,4
H269,HUGHES,269 Sky Knight,Helicopter,1,6,1,1
H40,HOFFMANN,H-40,LandPlane,1,4,1,1
H43A,KAMAN,H-43A,Helicopter,1,6,1,1
H43B,KAMAN,H-43B Huskie,Helicopter,1,6,1,3
H46,BOEING VERTOL,CH-46 Sea Knight,Helicopter,1,6,2,3
H47,BOEING VERTOL,CH-47 Chinook,Helicopter,1,6,2,3
H500,HUGHES,500,Helicopter,1,6,1,3
H53,SIKORSKY,CH-53D Sea Stallion,Helicopter,1,6,2,3
H53S,SIKORSKY,CH-53E Super Stallion,Helicopter,1,6,3,3
H60,SIKORSKY,MH-60 Black Hawk,Helicopter,1,6,2,3
H64,MCDONNELL DOUGLAS,AH-64 Apache,Helicopter,1,6,2,3
HA2,HOLLMANN,HA-2 Sportster,Gyrocopter,1,9,1,1
HA31,HINDUSTAN,HA-31 Basant,LandPlane,1,4,1,1
HA4T,RAYTHEON,Hawker 4000,LandPlane,1,5,2,4
HAHU,SINDLINGER,HH-1 Hawker Hurricane,LandPlane,1,4,1,1
HAR,MCDONNELL DOUGLAS,AV-8 Harrier,LandPlane,1,4,1,4
HAW3,GROEN,H2X Hawk 3,Gyrocopter,1,9,1,1
HAWK,BAE SYSTEMS,Hawk,LandPlane,1,4,1,4
HB21,BRDITSCHKA,HB-21 Hobbylifter,LandPlane,1,4,1,1
HB23,BRDITSCHKA,HB-23 Hobbyliner,LandPlane,1,4,1,1
HB3,BRDITSCHKA,HB-3,LandPlane,1,4,1,1
HCAT,GRUMMAN,F6F Hellcat,LandPlane,1,4,1,1
HD34,HUREL-DUBOIS,HD-34,LandPlane,1,5,2,1
HDJT,HONDA,HA-420 HondaJet,LandPlane,1,5,2,4
HEAD,STEWART (2),JD-1 Headwind,LandPlane,1,4,1,1
HERN,DE HAVILLAND,DH-114 Heron,LandPlane,1,5,4,1
HF20,HFB,HFB-320 Hansa,LandPlane,1,5,2,4
HI27,HIRTH,Hi-27 Acrostar,LandPlane,1,4,1,1
HIGH,JUST,Highlander,LandPlane,1,4,1,1
HIND,HAWKER,Hind,LandPlane,1,4,1,1
HL2,LAMBACH,HL-2 Replica,LandPlane,1,4,1,1
HLD4,HALBERSTADT,D-4 Replica,LandPlane,1,4,1,1
HM38,FALCONAR,HM-380 Ladybug,LandPlane,1,4,1,1
HN70,NICOLLIER,HN-700 Menestrel 2,LandPlane,1,4,1,1
HORN,WALLERKOWSKI,Hornisse,LandPlane,1,4,1,1
HORZ,FISHER AERO,Horizon,LandPlane,1,4,1,1
