icao,manufacturer,model,icaoClass,aircraftCategoryCode,aircraftType,engineCount,engineType
ATLA,DASSAULT,Atlantique 2,LandPlane,1,5,2,3
ATP,BRITISH AEROSPACE,ATP,LandPlane,1,5,2,3
AU11,BEAGLE-AUSTER,Auster AOP11,LandPlane,1,4,1,1
AUJ2,AUSTER,J-2 Arrow,LandPlane,1,4,1,1
AUJ4,AUSTER,J-4 Archer,LandPlane,1,4,1,1
AURA,SUNWARD,SA60 Aurora,LandPlane,1,4,1,1
AUS3,TAYLORCRAFT (2),Auster 3,LandPlane,1,4,1,1
AUS4,TAYLORCRAFT (2),Auster 4,LandPlane,1,4,1,1
AUS5,TAYLORCRAFT (2),Auster 5,LandPlane,1,4,1,1
AUS6,AUSTER,Auster AOP6,LandPlane,1,4,1,1
AUS7,AUSTER,Auster T7,LandPlane,1,4,1,1
AUS9,AUSTER,Auster AOP9,LandPlane,1,4,1,1
AV68,ALPLA,AVO-68 Samburo,LandPlane,1,4,1,1
AVAM,AVID,Avid Amphibian,Amphibian,3,4,1,1
AVID,LIGHT AERO,Avid Flyer,LandPlane,1,4,1,1
AVIN,AVRO,594 Avian,LandPlane,1,4,1,1
AVK4,AVTEK,400,LandPlane,1,5,2,3
AVLN,AIRMASTER,Avalon 680,Amphibian,3,4,1,3
AVTR,AERO ADVENTURE,Aventura 2,Amphibian,3,4,1,1
B06,BELL,206B JetRanger,Helicopter,1,6,1,3
B06T,BELL,206LT TwinRanger,Helicopter,1,6,2,3
B1,ROCKWELL,B-1 Lancer,LandPlane,1,5,4,4
B103,BERIEV,Be-103 Bekas,Amphibian,3,5,2,1
B105,MBB,BO-105,Helicopter,1,6,2,3
B13,AKAFLIEG BERLIN,B-13,LandPlane,1,4,1,1
B14A,BELLANCA,14 Cruisair,LandPlane,1,4,1,1
B14B,DOWNER,14 Bellanca 260,LandPlane,1,4,1,1
B14C,BELLANCA,14 Bellanca 260C,LandPlane,1,4,1,1
B150,WINNER,B-150,Helicopter,1,6,1,3
B17,BOEING,B-17 Flying Fortress,LandPlane,1,5,4,1
B18T,BEECH,18 (turbine),LandPlane,1,5,2,3
B190,BEECH,1900,LandPlane,1,5,2,3
B2,NORTHROP GRUMMAN,B-2 Spirit,LandPlane,1,5,4,4
B209,MBB,BO-209 Monsun,LandPlane,1,4,1,1
B212,BELL,212,Helicopter,1,6,1,3
B214,BELL,214B,Helicopter,1,6,1,3
B222,BELL,222,Helicopter,1,6,1,3
B23,DOUGLAS,B-23 Dragon,LandPlane,1,5,2,1
B230,BELL,230,Helicopter,1,6,2,3
B23E,BRM AERO,Bristell B23 Energic,LandPlane,1,4,1,10
B24,CONSOLIDATED,B-24 Liberator,LandPlane,1,5,4,1
B25,NORTH AMERICAN,B-25 Mitchell,LandPlane,1,5,2,1
B26,DOUGLAS,B-26 Invader,LandPlane,1,5,2,1
B26M,MARTIN,B-26 Marauder,LandPlane,1,5,2,1
B29,BOEING,B-29 Superfortress,LandPlane,1,5,4,1
B305,BRANTLY,305,Helicopter,1,6,1,1
B350,BEECH,Super King Air 350,LandPlane,1,5,2,3
B360,YAKOVLEV AIRCRAFT,Bear 360,LandPlane,1,4,1,1
B36T,BEECH,36 Bonanza (turbine),LandPlane,1,4,1,3
B37M,BOEING,737 MAX 7,LandPlane,1,5,2,4
B38M,BOEING,737 MAX 8,LandPlane,1,5,2,4
B39M,BOEING,737 MAX 9,LandPlane,1,5,2,4
B3XM,BOEING,737 MAX 10,LandPlane,1,5,2,4
B407,BELL,407,Helicopter,1,6,1,3
B412,BELL,412,Helicopter,1,6,2,3
B427,BELL,427,Helicopter,1,6,2,3
B429,BELL,429 GlobalRanger,Helicopter,1,6,2,3
B430,BELL,430,Helicopter,1,6,2,3
B461,BRITISH AEROSPACE,BAe-146-100,LandPlane,1,5,4,4
B462,BRITISH AEROSPACE,BAe-146-200,LandPlane,1,5,4,4
B463,BRITISH AEROSPACE,BAe-146-300,LandPlane,1,5,4,4
B47G,BELL,47G,Helicopter,1,6,1,1
B47J,BELL,47J Ranger,Helicopter,1,6,1,1
B47T,SOLOY,Bell 47,Helicopter,1,6,1,3
B505,BELL,505 Jet Ranger X,Helicopter,1,6,1,3
B52,BOEING,B-52 Stratofortress,LandPlane,1,5,8,4
B525,BELL,525 Relentless,Helicopter,1,6,2,3
B58T,BEECH,58P Pressurized Baron,LandPlane,1,5,2,1
B60,BOISAVIA,B-60 Mercurey,LandPlane,1,4,1,1
B609,BELL-AGUSTA,BA-609,Tiltrotor,1,H,2,3
B60T,BEECH,60 Royal Turbine Duke,LandPlane,1,5,2,3
B701,BOEING,707-100,LandPlane,1,5,4,4
B703,BOEING,707-300,LandPlane,1,5,4,4
B712,BOEING,717-200,LandPlane,1,5,2,4
B720,BOEING,720,LandPlane,1,5,4,4
B721,BOEING,727-100,LandPlane,1,5,3,4
B722,BOEING,727-200,LandPlane,1,5,3,4
B732,BOEING,737-200,LandPlane,1,5,2,4
B733,BOEING,737-300,LandPlane,1,5,2,4
B734,BOEING,737-400,LandPlane,1,5,2,4
B735,BOEING,737-500,LandPlane,1,5,2,4
B736,BOEING,737-600,LandPlane,1,5,2,4
B737,BOEING,737-700,LandPlane,1,5,2,4
B738,BOEING,737-800,LandPlane,1,5,2,4
B739,BOEING,737-900,LandPlane,1,5,2,4
B741,BOEING,747-100,LandPlane,1,5,4,4
B742,BOEING,747-200,LandPlane,1,5,4,4
B743,BOEING,747-300,LandPlane,1,5,4,4
B744,BOEING,747-400,LandPlane,1,5,4,4
B748,BOEING,747-8,LandPlane,1,5,4,4
B74R,BOEING,747SR,LandPlane,1,5,4,4
B74S,BOEING,747SP,LandPlane,1,5,4,4
B752,BOEING,757-200,LandPlane,1,5,2,4
B753,BOEING,757-300,LandPlane,1,5,2,4
B762,BOEING,767-200,LandPlane,1,5,2,4
B763,BOEING,767-300,LandPlane,1,5,2,4
B764,BOEING,767-400,LandPlane,1,5,2,4
B772,BOEING,777-200ER,LandPlane,1,5,2,4
B773,BOEING,777-300,LandPlane,1,5,2,4
B778,BOEING,777-8,LandPlane,1,5,2,4
B779,BOEING,777-9,LandPlane,1,5,2,4
B77L,BOEING,777-200LR,LandPlane,1,5,2,4
B77W,BOEING,777-300ER,LandPlane,1,5,2,4
B788,BOEING,787-8 Dreamliner,LandPlane,1,5,2,4
B789,BOEING,787-9 Dreamliner,LandPlane,1,5,2,4
B78X,BOEING,787-10 Dreamliner,LandPlane,1,5,2,4
BA11,BAC,111 One-Eleven,LandPlane,1,5,2,4
BABY,CANADIAN HOME ROTORS,Baby Belle,Helicopter,1,6,1,1
BAR6,BARR,BarrSix,LandPlane,1,4,1,1
BARC,BUETHE,Barracuda,LandPlane,1,4,1,1
BASS,BEAGLE,B-206,LandPlane,1,5,2,1
BBAT,BRADLEY,BA-100 Aerobat,LandPlane,1,4,1,1
BBIR,HOVEY,Beta Bird,LandPlane,1,4,1,1
BCA3,BUHL,CA-3 Sport Airsedan,LandPlane,1,4,1,1
BCAT,GRUMMAN,F8F Bearcat,LandPlane,1,4,1,1
BCS1,AIRBUS,A-220-100,LandPlane,1,5,2,4
BCS3,AIRBUS,A-220-300,LandPlane,1,5,2,4
BD10,BEDE,BD-10,LandPlane,1,4,1,4
BD12,BEDE,BD-12,LandPlane,1,4,1,1
BD17,BEDE,BD-17 Nuggett,LandPlane,1,4,1,1
BD4,BEDE,BD-4,LandPlane,1,4,1,1
BD5,BEDE,Micro (BD-5B/D/G),LandPlane,1,4,1,1
BD5J,BEDE,BD-5J Micro,LandPlane,1,4,1,4
BD5T,BEDE,BD-5TP Micro,LandPlane,1,4,1,3
BDOG,SCOTTISH AVIATION,SA-3 Bulldog,LandPlane,1,4,1,1
BE10,BEECH,100 King Air,LandPlane,1,5,2,3
BE12,BERIEV,Be-12 Tchaika,Amphibian,3,5,2,3
BE17,BEECH,17 Staggerwing,LandPlane,1,4,1,1
BE18,BEECH,18 (piston),LandPlane,1,5,2,1
BE19,BEECH,19 Musketeer Sport,LandPlane,1,4,1,1
BE20,BEECHCRAFT,200 King Air 250,LandPlane,1,5,2,3
BE22,BEECHCRAFT,220 Denali,LandPlane,1,4,1,3
BE23,BEECH,23 Musketeer,LandPlane,1,4,1,1
BE24,BEECH,24 Musketeer Super,LandPlane,1,4,1,1
BE30,RAYTHEON,300 Super King Air,LandPlane,1,5,2,3
BE32,BERIEV,Be-32,LandPlane,1,5,2,3
BE33,BEECH,33 Bonanza,LandPlane,1,4,1,1
BE35,BEECH,35 Bonanza,LandPlane,1,4,1,1
BE36,BEECH,36 Bonanza 36,LandPlane,1,4,1,1
BE40,RAYTHEON,Hawker 400XP,LandPlane,1,5,2,4
BE4W,RAYTHEON,Hawker 400XT,LandPlane,1,5,2,4
BE50,BEECH,50 Twin Bonanza,LandPlane,1,5,2,1
BE55,BEECH,55 Baron,LandPlane,1,5,2,1
BE56,BEECH,56 Turbo Baron,LandPlane,1,5,2,1
BE58,RAYTHEON,58 Baron,LandPlane,1,5,2,1
BE60,BEECH,60 Duke,LandPlane,1,5,2,1
BE65,BEECH,65 Queen Air,LandPlane,1,5,2,1
BE70,BEECH,70 Queen Air,LandPlane,1,5,2,1
BE76,BEECH,76 Duchess,LandPlane,1,5,2,1
BE77,BEECH,77 Skipper,LandPlane,1,4,1,1
BE80,BEECH,80 Queen Air,LandPlane,1,5,2,1
BE88,BEECH,88 Queen Air,LandPlane,1,5,2,1
BE95,BEECH,95 Travel Air,LandPlane,1,5,2,1
BE99,BEECH,99 Airliner,LandPlane,1,5,2,3
BE9L,BEECH,90 King Air,LandPlane,1,5,2,3
BE9T,BEECH,90 (F90) King Air,LandPlane,1,5,2,3
BEAR,AVIPRO,RB-4 Bearhawk,LandPlane,1,4,1,1
BELF,SHORT,SC-5 Belfast,LandPlane,1,5,4,3
BER2,BERIEV,Be-200 Altair,Amphibian,3,5,2,4
BER4,BERIEV,A-40 Albatross,Amphibian,3,5,2,4
BETA,ROLLASON,Beta,LandPlane,1,4,1,1
BEVR,ASAP,Beaver,LandPlane,1,4,1,1
BF19,PODESVA,Bf-109G-2,LandPlane,1,4,1,1
BFIT,BRISTOL,F-2B Fighter Replica,LandPlane,1,4,1,1
BILO,PENA,Bilouis,LandPlane,1,4,1,1
BIPL,EAA,Biplane,LandPlane,1,4,1,1
BIRD,TAYLOR (3),TA-2 Bird,LandPlane,1,4,1,1
BISC,BILSAM,Sky Cruiser,LandPlane,1,4,1,1
BK17,MBB-KAWASAKI,BK-117,Helicopter,1,6,2,3
BKUT,BERKUT,Berkut,LandPlane,1,4,1,1
BL11,BLERIOT,11 Replica,LandPlane,1,4,1,1
BL17,BELLANCA,17 Viking,LandPlane,1,4,1,1
BL19,BELLANCA,19 Skyrocket,LandPlane,1,4,1,1
BL8,BELLANCA,8 Scout,LandPlane,1,4,1,1
BLBU,AMEUR,Altania,LandPlane,1,4,1,1
BLCF,BOEING,747-400LCF Dreamlifter,LandPlane,1,5,4,4
BLEN,BRISTOL,149 Blenheim,LandPlane,1,5,2,1
BLKS,AIRCRAFT SPRUCE,Baby Lakes,LandPlane,1,4,1,1
BM6,MARANDA,BM-6 Lark,LandPlane,1,4,1,1
BMAN,AAK,Bushman,LandPlane,1,4,1,1
BN2P,BRITTEN-NORMAN,BN-2 Islander,LandPlane,1,5,2,1
